activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50
686322,CHEMBL281178,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,35.0,nM,7.46,,0,1,CHEMBL1147603,1,7.455931955649724
694013,CHEMBL23110,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,55.0,nM,7.26,,0,1,CHEMBL1147603,1,7.259637310505756
694016,CHEMBL23879,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,250.0,nM,6.6,,0,1,CHEMBL1147603,1,6.6020599913279625
694018,CHEMBL277193,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,250.0,nM,6.6,,0,1,CHEMBL1147603,1,6.6020599913279625
699829,CHEMBL23981,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,340.0,nM,6.47,,0,1,CHEMBL1147603,1,6.468521082957745
702335,CHEMBL279944,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,27.0,nM,7.57,,0,1,CHEMBL1147603,1,7.568636235841012
702338,CHEMBL431885,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,870.0,nM,6.06,,0,1,CHEMBL1147603,1,6.060480747381382
703648,CHEMBL23660,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,54.0,nM,7.27,,0,1,CHEMBL1147603,1,7.267606240177031
706252,CHEMBL23924,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,110.0,nM,6.96,,0,1,CHEMBL1147603,1,6.958607314841775
706255,CHEMBL423108,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,23.0,nM,7.64,,0,1,CHEMBL1147603,1,7.638272163982407
708829,CHEMBL277635,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,70.0,nM,7.16,,0,1,CHEMBL1147603,1,7.154901959985743
710210,CHEMBL22294,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,21.0,nM,7.68,,0,1,CHEMBL1147603,1,7.6777807052660805
