parent_smiles,molecule_chembl_id,pIC50_median,activity_class,PCA1,PCA2,tSNE1,tSNE2,Set
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)O)c2)c1=O,CHEMBL4863102,9.0,High,-2.4549804877962718,-1.0895989390812952,-57.464912,-34.816467,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)OC)c2)c1=O,CHEMBL4846335,8.795880017344075,High,-2.4300100684823054,-0.9345714640113753,-56.787308,-35.530758,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(F)cc2C(=O)O)c1=O,CHEMBL4438210,8.119186407719209,High,-2.5790127145690556,-1.2684651928223116,-55.569366,-33.321835,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3c(ccc4ccccc43)n2)c1=O,CHEMBL2425887,7.504455662453552,High,-3.63783838891931,-1.1885275280181014,-59.797314,-32.086178,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3cc(Br)ccc3n2)c1=O,CHEMBL2425888,7.966576244513051,High,-3.4009624626387094,-1.1151149852470907,-59.19047,-31.753279,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3cc(C)ccc3n2)c1=O,CHEMBL2425891,8.040958607678906,High,-3.510355319078225,-1.0474777960557284,-59.5012,-31.513048,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3cc(Cl)ccc3n2)c1=O,CHEMBL2425889,8.18045606445813,High,-3.3928877750440805,-1.226811281053768,-60.111355,-32.883255,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3cc(F)ccc3n2)c1=O,CHEMBL2425890,8.698970004336019,High,-3.0058715886314604,-1.649026266816536,-58.861298,-30.781252,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3cc(OC)ccc3n2)c1=O,CHEMBL2425892,8.721246399047171,High,-3.4138769671099856,-1.1119919551090816,-58.208893,-31.320795,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O,CHEMBL2425893,9.397940008672036,High,-3.370195563293439,-1.211956891640833,-60.09585,-32.88816,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccc(F)cc3n2)c1=O,CHEMBL2425894,9.154901959985745,High,-2.9876943869185877,-1.6351099240837355,-58.85076,-30.784468,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccccc3n2)c1=O,CHEMBL2425886,8.508638306165727,High,-3.558740152979132,-1.142077009768288,-59.468597,-32.07452,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)N3CCC[C@@H]3C(=O)O)c2)c1=O,CHEMBL4871197,7.718966632752272,High,-2.928880563177856,-0.15001634210235534,-58.053772,-36.540356,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)N3CCC[C@@H]3C(=O)OC)c2)c1=O,CHEMBL4867117,7.322393047279506,High,-2.9545062007261977,-0.053934496279303544,-57.295746,-36.698063,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)N3CCC[C@H]3C(=O)O)c2)c1=O,CHEMBL4859630,7.460923901207224,High,-2.919359672598609,-0.22904514949607946,-58.093544,-36.57424,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)NC)c2)c1=O,CHEMBL5286666,8.443697499232712,High,-2.9714282250374864,-0.3940257356324251,-57.621136,-36.863968,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)NCC(=O)O)c2)c1=O,CHEMBL4869930,8.161150909262744,High,-3.2029794800546694,-0.3451957919521889,-57.73681,-37.167866,Test
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)NCC(=O)OC)c2)c1=O,CHEMBL4874467,8.040958607678906,High,-3.1668454475690258,-0.30095573792375213,-57.27026,-37.1456,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)NCC)c2)c1=O,CHEMBL5268983,8.337242168318426,High,-3.071613791671737,-0.41114283831643017,-57.64592,-37.08409,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)N[C@@H](C)C(=O)O)c2)c1=O,CHEMBL4858682,8.040958607678906,High,-2.8788397021660526,-0.4563189652913757,-57.7393,-37.199566,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)N[C@@H](C)C(=O)OC)c2)c1=O,CHEMBL4858093,7.625251653989896,High,-2.788888629351042,-0.4248160327428752,-57.1422,-36.987633,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)OC)c2Br)c1=O,CHEMBL4852700,8.346787486224656,High,-3.047464299620173,-0.4154111481069861,-55.4352,-35.31667,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)OC)c2F)c1=O,CHEMBL4871141,8.154901959985743,High,-2.7280387755796314,-0.9180298143096635,-55.11627,-35.074818,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(F)c2C(=O)O)c1=O,CHEMBL4446618,8.714553481890803,High,-2.582465880605617,-1.2392596266827776,-55.547974,-33.9067,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(F)c2C(=O)OC)c1=O,CHEMBL4453917,7.030584087646019,High,-2.574580765258637,-1.1006711083678389,-54.985195,-34.887,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccccc2)c1=O,CHEMBL2425883,6.973466735476704,Moderate,-3.3054450436126412,-0.8906716482502385,-58.825817,-33.408,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccccc2C(=O)O)c1=O,CHEMBL4538597,8.1249387366083,High,-3.13730720896746,-0.7903837402733535,-56.061245,-33.998512,Train
